METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
ESQ,860.0338795,,Modality_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,863.9832058,,Modality_response,7.6,Experience Sampling Questions,1,8707290,,Marker Started at 8,Reading Task
ESQ,863.9843017,,Problem_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,867.6154536,,Problem_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 9,Reading Task
ESQ,867.6165292,,Intrusive_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,871.0827571,,Intrusive_response,2.4,Experience Sampling Questions,1,8707290,,Marker Started at 5,Reading Task
ESQ,871.0839035,,Knowledge_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,876.0490671,,Knowledge_response,4.6,Experience Sampling Questions,1,8707290,,Marker Started at 8,Reading Task
ESQ,876.0502482,,Absorption_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,880.2656109,,Absorption_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Reading Task
ESQ,880.2667039,,Emotion_start,,Experience Sampling Questions,1,8707290,,,Reading Task
ESQ,882.915532,,Emotion_response,4.9,Experience Sampling Questions,1,8707290,,Marker Started at 6,Reading Task
EXPERIMENT DATA:,Reading Task,,,,,,,,,
Start Time,882.9294833,,,,,,,,,
Reading start,882.9347584,,,,Reading Task,1,8707290,,,
Reading trial start,887.0621069,,,,Reading Task,1,8707290,,"['Today most', 'newspapers', 'are published', 'online,', 'with', 'frequent', 'updates', 'throughout', 'the day, and', 'some have', 'abandoned', 'their', 'print', 'versions', 'entirely.']",
Reading trial ended,901.6153723,,,,Reading Task,1,8707290,,,
Reading trial start,901.632845,,,,Reading Task,1,8707290,,"['In many', 'countries,', 'driving', 'a truck', 'requires', 'a special', 'driving', 'license, the', 'requirements', 'and', 'limitations', 'vary', 'with', 'each', 'jurisdiction.']",
Reading trial ended,916.765462,,,,Reading Task,1,8707290,,,
Reading trial start,916.7832719,,,,Reading Task,1,8707290,,"['Seaweeds', 'are', 'sometimes', 'used as', 'animal', 'feed,', 'and have', 'long been', 'eaten by', 'sheep,', 'horses', 'and cattle', 'in', 'Northern', 'Europe.']",
Reading trial ended,931.3473261,,,,Reading Task,1,8707290,,,
